type,algorithm,n,time_us,char_comparisons
random,string_mergesort_lcp,2400,2438.79,21758
random,msd_radix,2400,581.83,11332
random,msd_radix_quick,2400,281.12,19897
random,std_quicksort,2500,282.54,81812
random,std_mergesort,2500,2256.54,35653
random,string_quicksort,2500,169.96,32358
random,string_mergesort_lcp,2500,2507.88,22680
random,msd_radix,2500,596.12,11900
random,msd_radix_quick,2500,315.25,20891
random,std_quicksort,2600,350.92,89696
random,std_mergesort,2600,2366.83,37363
random,string_quicksort,2600,168.04,32892
random,string_mergesort_lcp,2600,2670.96,23760
random,msd_radix,2600,609.29,12422
random,msd_radix_quick,2600,316.62,21917
random,std_quicksort,2700,306.42,88109
random,std_mergesort,2700,2358.67,39195
random,string_quicksort,2700,185.71,33894
random,string_mergesort_lcp,2700,2721.58,24828
random,msd_radix,2700,657.88,12964
random,msd_radix_quick,2700,298.62,22903
random,std_quicksort,2800,341.42,99817
random,std_mergesort,2800,2640.83,40882
random,string_quicksort,2800,178.96,39357
random,string_mergesort_lcp,2800,2832.71,25824
random,msd_radix,2800,706.75,13496
random,msd_radix_quick,2800,320.29,24047
random,std_quicksort,2900,355.08,97851
random,std_mergesort,2900,2596.29,42726
random,string_quicksort,2900,185.17,36118
random,string_mergesort_lcp,2900,2915.62,26899
random,msd_radix,2900,695.92,14036
random,msd_radix_quick,2900,354.00,25141
random,std_quicksort,3000,374.67,102318
random,std_mergesort,3000,2732.42,44460
random,string_quicksort,3000,208.00,40246
random,string_mergesort_lcp,3000,3045.25,27915
random,msd_radix,3000,763.71,14588
random,msd_radix_quick,3000,375.96,26079
reverse,std_quicksort,100,4.08,2494
reverse,std_mergesort,100,38.04,597
reverse,string_quicksort,100,1.54,852
reverse,string_mergesort_lcp,100,44.29,347
reverse,msd_radix,100,21.00,488
reverse,msd_radix_quick,100,7.33,848
reverse,std_quicksort,200,11.71,7352
reverse,std_mergesort,200,92.71,1324
reverse,string_quicksort,200,3.92,1962
reverse,string_mergesort_lcp,200,114.71,718
reverse,msd_radix,200,42.12,972
reverse,msd_radix_quick,200,14.88,1774
reverse,std_quicksort,300,16.58,9315
reverse,std_mergesort,300,158.54,2032
reverse,string_quicksort,300,5.88,3104
reverse,string_mergesort_lcp,300,173.25,1053
reverse,msd_radix,300,63.71,1448
reverse,msd_radix_quick,300,24.00,2621
reverse,std_quicksort,400,22.12,11714
reverse,std_mergesort,400,235.67,2806
reverse,string_quicksort,400,8.96,4332
reverse,string_mergesort_lcp,400,253.96,1414
reverse,msd_radix,400,100.75,1940
reverse,msd_radix_quick,400,33.71,3508
reverse,std_quicksort,500,31.58,15040
reverse,std_mergesort,500,298.46,3720
reverse,string_quicksort,500,11.83,5609
reverse,string_mergesort_lcp,500,355.54,1858
reverse,msd_radix,500,113.67,2410
reverse,msd_radix_quick,500,48.83,4358
reverse,std_quicksort,600,37.75,15891
reverse,std_mergesort,600,384.92,4366
reverse,string_quicksort,600,14.58,7015
reverse,string_mergesort_lcp,600,433.58,2119
reverse,msd_radix,600,140.75,2918
reverse,msd_radix_quick,600,54.71,5244
reverse,std_quicksort,700,45.71,22051
reverse,std_mergesort,700,440.25,5259
reverse,string_quicksort,700,16.21,8353
reverse,string_mergesort_lcp,700,502.50,2570
reverse,msd_radix,700,183.62,3396
reverse,msd_radix_quick,700,66.92,6150
reverse,std_quicksort,800,60.08,31465
reverse,std_mergesort,800,549.25,6050
reverse,string_quicksort,800,20.54,9677
reverse,string_mergesort_lcp,800,601.67,2878
reverse,msd_radix,800,191.50,3880
reverse,msd_radix_quick,800,85.88,7022
reverse,std_quicksort,900,63.75,29127
reverse,std_mergesort,900,620.96,6959
reverse,string_quicksort,900,24.71,11346
reverse,string_mergesort_lcp,900,688.50,3295
reverse,msd_radix,900,206.83,4344
reverse,msd_radix_quick,900,86.29,7879
reverse,std_quicksort,1000,72.62,30927
reverse,std_mergesort,1000,694.08,7938
reverse,string_quicksort,1000,26.46,12888
reverse,string_mergesort_lcp,1000,811.83,3725
reverse,msd_radix,1000,253.00,4818
reverse,msd_radix_quick,1000,94.17,8738
reverse,std_quicksort,1100,76.04,37836
reverse,std_mergesort,1100,769.00,8725
reverse,string_quicksort,1100,28.83,14458
reverse,string_mergesort_lcp,1100,844.58,4090
reverse,msd_radix,1100,279.00,5310
reverse,msd_radix_quick,1100,111.25,9637
reverse,std_quicksort,1200,92.29,40740
reverse,std_mergesort,1200,858.62,9362
reverse,string_quicksort,1200,32.79,15905
reverse,string_mergesort_lcp,1200,915.42,4318
reverse,msd_radix,1200,278.17,5778
reverse,msd_radix_quick,1200,116.83,10545
reverse,std_quicksort,1300,93.88,47472
reverse,std_mergesort,1300,903.62,10350
reverse,string_quicksort,1300,36.54,17794
reverse,string_mergesort_lcp,1300,1097.29,4804
reverse,msd_radix,1300,306.00,6256
reverse,msd_radix_quick,1300,137.12,11424
reverse,std_quicksort,1400,100.08,47311
reverse,std_mergesort,1400,997.58,11173
reverse,string_quicksort,1400,41.88,19517
reverse,string_mergesort_lcp,1400,1136.12,5128
reverse,msd_radix,1400,335.79,6758
reverse,msd_radix_quick,1400,148.79,12294
reverse,std_quicksort,1500,120.33,54569
reverse,std_mergesort,1500,1059.08,12053
reverse,string_quicksort,1500,45.33,21402
reverse,string_mergesort_lcp,1500,1207.42,5476
reverse,msd_radix,1500,362.96,7222
reverse,msd_radix_quick,1500,149.50,13150
reverse,std_quicksort,1600,126.75,57501
reverse,std_mergesort,1600,1178.54,12967
reverse,string_quicksort,1600,60.04,23059
reverse,string_mergesort_lcp,1600,1293.42,5861
reverse,msd_radix,1600,389.00,7712
reverse,msd_radix_quick,1600,170.08,14024
reverse,std_quicksort,1700,135.00,64447
reverse,std_mergesort,1700,1283.08,13840
reverse,string_quicksort,1700,52.04,24953
reverse,string_mergesort_lcp,1700,1431.25,6241
reverse,msd_radix,1700,416.29,8184
reverse,msd_radix_quick,1700,177.67,14923
reverse,std_quicksort,1800,137.67,65560
reverse,std_mergesort,1800,1384.58,14852
reverse,string_quicksort,1800,58.33,26803
reverse,string_mergesort_lcp,1800,1534.46,6639
reverse,msd_radix,1800,445.67,8660
reverse,msd_radix_quick,1800,178.75,15759
reverse,std_quicksort,1900,148.29,61410
reverse,std_mergesort,1900,1458.42,15848
reverse,string_quicksort,1900,62.79,29092
reverse,string_mergesort_lcp,1900,1554.83,7083
reverse,msd_radix,1900,448.79,9132
reverse,msd_radix_quick,1900,193.58,16586
reverse,std_quicksort,2000,167.38,71494
reverse,std_mergesort,2000,1490.50,16971
reverse,string_quicksort,2000,64.96,31361
reverse,string_mergesort_lcp,2000,1724.50,7531
reverse,msd_radix,2000,493.33,9636
reverse,msd_radix_quick,2000,202.54,17506
reverse,std_quicksort,2100,178.08,74060
reverse,std_mergesort,2100,1634.04,17819
reverse,string_quicksort,2100,71.46,33204
reverse,string_mergesort_lcp,2100,1797.46,7843
reverse,msd_radix,2100,517.79,10130
reverse,msd_radix_quick,2100,208.71,18411
reverse,std_quicksort,2200,176.38,85735
reverse,std_mergesort,2200,1687.29,18558
reverse,string_quicksort,2200,78.79,35686
reverse,string_mergesort_lcp,2200,1845.58,8220
reverse,msd_radix,2200,519.50,10602
reverse,msd_radix_quick,2200,218.92,19312
reverse,std_quicksort,2300,179.83,86967
reverse,std_mergesort,2300,1812.58,19286
reverse,string_quicksort,2300,81.96,37718
reverse,string_mergesort_lcp,2300,1930.04,8423
reverse,msd_radix,2300,587.25,11090
reverse,msd_radix_quick,2300,240.46,20175
reverse,std_quicksort,2400,202.46,80376
reverse,std_mergesort,2400,1887.12,20031
reverse,string_quicksort,2400,103.75,39914
reverse,string_mergesort_lcp,2400,2169.96,8734
reverse,msd_radix,2400,583.54,11586
reverse,msd_radix_quick,2400,252.46,21093
reverse,std_quicksort,2500,195.62,92513
reverse,std_mergesort,2500,1995.54,21036
reverse,string_quicksort,2500,93.08,42958
reverse,string_mergesort_lcp,2500,2104.29,9143
reverse,msd_radix,2500,633.08,12074
reverse,msd_radix_quick,2500,267.42,21973
reverse,std_quicksort,2600,211.08,102837
reverse,std_mergesort,2600,1988.25,22034
reverse,string_quicksort,2600,98.25,45134
reverse,string_mergesort_lcp,2600,2328.42,9628
reverse,msd_radix,2600,632.25,12550
reverse,msd_radix_quick,2600,262.54,22823
reverse,std_quicksort,2700,213.58,102706
reverse,std_mergesort,2700,2193.96,22831
reverse,string_quicksort,2700,101.58,47464
reverse,string_mergesort_lcp,2700,2465.38,9937
reverse,msd_radix,2700,671.04,13030
reverse,msd_radix_quick,2700,273.83,23711
reverse,std_quicksort,2800,218.46,104435
reverse,std_mergesort,2800,2269.71,23764
reverse,string_quicksort,2800,108.46,49850
reverse,string_mergesort_lcp,2800,2409.96,10265
reverse,msd_radix,2800,725.21,13498
reverse,msd_radix_quick,2800,308.46,24584
reverse,std_quicksort,2900,246.17,111738
reverse,std_mergesort,2900,2310.54,24674
reverse,string_quicksort,2900,126.79,52879
reverse,string_mergesort_lcp,2900,2569.17,10658
reverse,msd_radix,2900,746.38,13978
reverse,msd_radix_quick,2900,323.04,25448
reverse,std_quicksort,3000,250.88,114879
reverse,std_mergesort,3000,2357.29,25739
reverse,string_quicksort,3000,124.12,55388
reverse,string_mergesort_lcp,3000,2623.50,11063
reverse,msd_radix,3000,772.62,14452
reverse,msd_radix_quick,3000,314.08,26348
nearly,std_quicksort,100,5.83,4406
nearly,std_mergesort,100,39.54,754
nearly,string_quicksort,100,1.92,998
nearly,string_mergesort_lcp,100,37.00,396
nearly,msd_radix,100,14.46,484
nearly,msd_radix_quick,100,6.88,967
nearly,std_quicksort,200,12.50,9821
nearly,std_mergesort,200,83.67,1725
nearly,string_quicksort,200,3.83,2002
nearly,string_mergesort_lcp,200,100.08,780
nearly,msd_radix,200,31.08,940
nearly,msd_radix_quick,200,14.38,1798
nearly,std_quicksort,300,14.46,8337
nearly,std_mergesort,300,133.88,2657
nearly,string_quicksort,300,6.58,3241
nearly,string_mergesort_lcp,300,170.50,1149
nearly,msd_radix,300,44.21,1400
nearly,msd_radix_quick,300,22.21,2676
nearly,std_quicksort,400,25.38,19165
nearly,std_mergesort,400,194.46,3682
nearly,string_quicksort,400,9.42,4658
nearly,string_mergesort_lcp,400,229.71,1588
nearly,msd_radix,400,77.33,1874
nearly,msd_radix_quick,400,31.17,3613
nearly,std_quicksort,500,23.62,9502
nearly,std_mergesort,500,259.08,4510
nearly,string_quicksort,500,12.04,5918
nearly,string_mergesort_lcp,500,296.04,1905
nearly,msd_radix,500,83.42,2356
nearly,msd_radix_quick,500,47.62,4508
nearly,std_quicksort,600,33.62,17599
nearly,std_mergesort,600,330.00,5820
nearly,string_quicksort,600,15.17,7473
nearly,string_mergesort_lcp,600,388.96,2337
nearly,msd_radix,600,103.38,2828
nearly,msd_radix_quick,600,62.62,5388
nearly,std_quicksort,700,45.12,30268
nearly,std_mergesort,700,417.96,6786
nearly,string_quicksort,700,17.96,8932
nearly,string_mergesort_lcp,700,456.46,2815
nearly,msd_radix,700,136.38,3328
nearly,msd_radix_quick,700,61.12,6321
nearly,std_quicksort,800,53.62,36491
nearly,std_mergesort,800,477.21,8130
nearly,string_quicksort,800,21.92,10112
nearly,string_mergesort_lcp,800,537.00,3213
nearly,msd_radix,800,137.46,3788
nearly,msd_radix_quick,800,76.75,7163
nearly,std_quicksort,900,120.96,64695
nearly,std_mergesort,900,619.96,9115
nearly,string_quicksort,900,24.38,11816
nearly,string_mergesort_lcp,900,640.04,3604
nearly,msd_radix,900,172.96,4272
nearly,msd_radix_quick,900,88.08,8110
nearly,std_quicksort,1000,132.88,66649
nearly,std_mergesort,1000,641.83,10116
nearly,string_quicksort,1000,28.79,13333
nearly,string_mergesort_lcp,1000,709.00,3919
nearly,msd_radix,1000,180.83,4746
nearly,msd_radix_quick,1000,92.50,9021
nearly,std_quicksort,1100,159.71,80601
nearly,std_mergesort,1100,742.79,11680
nearly,string_quicksort,1100,33.79,15179
nearly,string_mergesort_lcp,1100,816.75,4368
nearly,msd_radix,1100,193.54,5224
nearly,msd_radix_quick,1100,102.58,9956
nearly,std_quicksort,1200,196.58,100666
nearly,std_mergesort,1200,810.25,13034
nearly,string_quicksort,1200,35.25,16826
nearly,string_mergesort_lcp,1200,938.92,4797
nearly,msd_radix,1200,230.67,5720
nearly,msd_radix_quick,1200,115.04,10881
nearly,std_quicksort,1300,157.54,76474
nearly,std_mergesort,1300,877.75,14105
nearly,string_quicksort,1300,39.04,17093
nearly,string_mergesort_lcp,1300,981.75,5301
nearly,msd_radix,1300,261.71,6216
nearly,msd_radix_quick,1300,128.12,11831
nearly,std_quicksort,1400,182.88,95252
nearly,std_mergesort,1400,1005.83,15377
nearly,string_quicksort,1400,45.12,18326
nearly,string_mergesort_lcp,1400,1097.29,5737
nearly,msd_radix,1400,272.29,6706
nearly,msd_radix_quick,1400,137.54,12777
nearly,std_quicksort,1500,210.58,112705
nearly,std_mergesort,1500,1055.83,16501
nearly,string_quicksort,1500,44.71,20121
nearly,string_mergesort_lcp,1500,1152.25,6215
nearly,msd_radix,1500,285.33,7180
nearly,msd_radix_quick,1500,147.00,13730
nearly,std_quicksort,1600,249.92,139566
nearly,std_mergesort,1600,1157.71,18050
nearly,string_quicksort,1600,48.50,21377
nearly,string_mergesort_lcp,1600,1273.17,6618
nearly,msd_radix,1600,318.88,7636
nearly,msd_radix_quick,1600,155.38,14571
nearly,std_quicksort,1700,356.96,202237
nearly,std_mergesort,1700,1269.58,19077
nearly,string_quicksort,1700,54.75,25755
nearly,string_mergesort_lcp,1700,1384.50,6989
nearly,msd_radix,1700,337.08,8156
nearly,msd_radix_quick,1700,166.79,15554
nearly,std_quicksort,1800,261.62,148927
nearly,std_mergesort,1800,1359.62,20205
nearly,string_quicksort,1800,58.58,24301
nearly,string_mergesort_lcp,1800,1462.79,7442
nearly,msd_radix,1800,370.83,8656
nearly,msd_radix_quick,1800,177.62,16575
nearly,std_quicksort,1900,244.75,133977
nearly,std_mergesort,1900,1423.42,21258
nearly,string_quicksort,1900,61.42,25956
nearly,string_mergesort_lcp,1900,1549.08,7795
nearly,msd_radix,1900,392.67,9182
nearly,msd_radix_quick,1900,205.38,17504
nearly,std_quicksort,2000,326.71,163736
nearly,std_mergesort,2000,1512.04,22014
nearly,string_quicksort,2000,68.08,27200
nearly,string_mergesort_lcp,2000,1622.29,8075
nearly,msd_radix,2000,406.75,9638
nearly,msd_radix_quick,2000,216.42,18389
nearly,std_quicksort,2100,286.46,153152
nearly,std_mergesort,2100,1608.79,23549
nearly,string_quicksort,2100,68.08,29285
nearly,string_mergesort_lcp,2100,1668.75,8539
nearly,msd_radix,2100,433.21,10124
nearly,msd_radix_quick,2100,216.21,19314
nearly,std_quicksort,2200,350.38,181841
nearly,std_mergesort,2200,1694.88,25498
nearly,string_quicksort,2200,74.04,30363
nearly,string_mergesort_lcp,2200,1830.50,9033
nearly,msd_radix,2200,450.04,10618
nearly,msd_radix_quick,2200,244.54,20209
nearly,std_quicksort,2300,284.21,148816
nearly,std_mergesort,2300,1767.17,26647
nearly,string_quicksort,2300,79.04,33971
nearly,string_mergesort_lcp,2300,1936.79,9682
nearly,msd_radix,2300,472.08,11088
nearly,msd_radix_quick,2300,239.83,21087
nearly,std_quicksort,2400,338.96,177539
nearly,std_mergesort,2400,1859.54,28504
nearly,string_quicksort,2400,88.21,31804
nearly,string_mergesort_lcp,2400,2072.92,10162
